City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
395,Beloha,MG,-25.1667,45.05,88.68,38,63,6.8,broken clouds
396,Svoge,BG,42.9667,23.35,36.72,97,100,3.78,overcast clouds
397,Okhotsk,RU,59.3833,143.3,-1.08,81,83,22.01,broken clouds
398,Santa Monica,US,34.0195,-118.4912,60.06,83,100,3.44,mist
399,Ucluelet,CA,48.9329,-125.5528,37.09,91,10,6.82,clear sky
400,Kenitra,MA,34.261,-6.5802,50.76,84,43,2.39,scattered clouds
401,Monrovia,LR,6.3005,-10.7969,77.49,80,100,2.33,overcast clouds
402,Namatanai,PG,-3.6667,152.4333,83.86,70,8,8.84,light rain
403,Anadyr,RU,64.75,177.4833,23.5,86,40,20.13,scattered clouds
404,Manggar,ID,-2.8833,108.2667,81.07,77,100,3.31,overcast clouds
405,Kamaishi,JP,39.2667,141.8833,48.56,69,5,6.98,clear sky
406,Pobe,BJ,6.9801,2.6649,76.57,82,72,3.18,broken clouds
407,Asau,RO,46.4333,26.4,33.28,94,100,2.93,overcast clouds
408,Chicama,PE,-7.8447,-79.1469,63.14,86,100,3.71,overcast clouds
409,Aitape,PG,-3.1374,142.3475,83.39,77,65,6.08,broken clouds
410,Lom Sak,TH,16.7798,101.2422,93.09,59,40,3.44,scattered clouds
411,Port Keats,AU,-14.25,129.55,85.84,64,46,7.56,scattered clouds
412,Ajaccio,FR,42.0,8.9167,44.65,81,0,3.44,clear sky
